passengerid,survived,pclass,sex,age,sibsp,parch,fare,embarked
1,0,3,male,22.0,1,0,7.25,S
2,1,1,female,38.0,1,0,71.2833,C
3,1,3,female,26.0,0,0,7.925,S
4,1,1,female,35.0,1,0,53.1,S
5,0,3,male,35.0,0,0,8.05,S
6,0,3,male,,0,0,8.4583,Q
7,0,1,male,54.0,0,0,51.8625,S
8,0,3,male,2.0,3,1,21.075,S
9,1,3,female,27.0,0,2,11.1333,S
10,1,2,female,14.0,1,0,30.0708,C
11,1,3,female,4.0,1,1,16.7,S
12,1,1,female,58.0,0,0,26.55,S
13,0,3,male,20.0,0,0,8.05,S
14,0,3,male,39.0,1,5,31.275,S
15,0,3,female,14.0,0,0,7.8542,S
16,1,2,female,55.0,0,0,16.0,S
17,0,3,male,2.0,4,1,29.125,Q
18,1,2,male,,0,0,13.0,S
19,0,3,female,31.0,1,0,18.0,S
20,1,3,female,,0,0,7.225,C
21,0,2,male,35.0,0,0,26.0,S
22,1,2,male,34.0,0,0,13.0,S
23,1,3,female,15.0,0,0,8.0292,Q
24,1,1,male,28.0,0,0,35.5,S
25,0,3,female,8.0,3,1,21.075,S
26,1,3,female,38.0,1,5,31.3875,S
27,0,3,male,,0,0,7.225,C
28,0,1,male,19.0,3,2,263.0,S
29,1,3,female,,0,0,7.8792,Q
30,0,3,male,,0,0,7.8958,S
31,0,1,male,40.0,0,0,27.7208,C
32,1,1,female,,1,0,146.5208,C
33,1,3,female,,0,0,7.75,Q
34,0,2,male,66.0,0,0,10.5,S
35,0,1,male,28.0,1,0,82.1708,C
36,0,1,male,42.0,1,0,52.0,S
37,1,3,male,,0,0,7.2292,C
38,0,3,male,21.0,0,0,8.05,S
39,0,3,female,18.0,2,0,18.0,S
40,1,3,female,14.0,1,0,11.2417,C
41,0,3,female,40.0,1,0,9.475,S
42,0,2,female,27.0,1,0,21.0,S
43,0,3,male,,0,0,7.8958,C
44,1,2,female,3.0,1,2,41.5792,C
45,1,3,female,19.0,0,0,7.8792,Q
46,0,3,male,,0,0,8.05,S
47,0,3,male,,1,0,15.5,Q
48,1,3,female,,0,0,7.75,Q
49,0,3,male,,2,0,21.6792,C
50,0,3,female,18.0,1,0,17.8,S
51,0,3,male,7.0,4,1,39.6875,S
52,0,3,male,21.0,0,0,7.8,S
53,1,1,female,49.0,1,0,76.7292,C
54,1,2,female,29.0,1,0,26.0,S
55,0,1,male,65.0,0,1,61.9792,C
56,1,1,male,,0,0,35.5,S
57,1,2,female,21.0,0,0,10.5,S
58,0,3,male,28.5,0,0,7.2292,C
59,1,2,female,5.0,1,2,27.75,S
60,0,3,male,11.0,5,2,46.9,S
61,0,3,male,22.0,0,0,7.2292,C
62,1,1,female,38.0,0,0,80.0,
63,0,1,male,45.0,1,0,83.475,S
64,0,3,male,4.0,3,2,27.9,S
65,0,1,male,,0,0,27.7208,C
66,1,3,male,,1,1,15.2458,C
67,1,2,female,29.0,0,0,10.5,S
68,0,3,male,19.0,0,0,8.1583,S
69,1,3,female,17.0,4,2,7.925,S
70,0,3,male,26.0,2,0,8.6625,S
71,0,2,male,32.0,0,0,10.5,S
72,0,3,female,16.0,5,2,46.9,S
73,0,2,male,21.0,0,0,73.5,S
74,0,3,male,26.0,1,0,14.4542,C
75,1,3,male,32.0,0,0,56.4958,S
76,0,3,male,25.0,0,0,7.65,S
77,0,3,male,,0,0,7.8958,S
78,0,3,male,,0,0,8.05,S
79,1,2,male,0.83,0,2,29.0,S
80,1,3,female,30.0,0,0,12.475,S
81,0,3,male,22.0,0,0,9.0,S
82,1,3,male,29.0,0,0,9.5,S
83,1,3,female,,0,0,7.7875,Q
84,0,1,male,28.0,0,0,47.1,S
85,1,2,female,17.0,0,0,10.5,S
86,1,3,female,33.0,3,0,15.85,S
87,0,3,male,16.0,1,3,34.375,S
88,0,3,male,,0,0,8.05,S
89,1,1,female,23.0,3,2,263.0,S
90,0,3,male,24.0,0,0,8.05,S
91,0,3,male,29.0,0,0,8.05,S
92,0,3,male,20.0,0,0,7.8542,S
93,0,1,male,46.0,1,0,61.175,S
94,0,3,male,26.0,1,2,20.575,S
95,0,3,male,59.0,0,0,7.25,S
96,0,3,male,,0,0,8.05,S
97,0,1,male,71.0,0,0,34.6542,C
98,1,1,male,23.0,0,1,63.3583,C
99,1,2,female,34.0,0,1,23.0,S
100,0,2,male,34.0,1,0,26.0,S
101,0,3,female,28.0,0,0,7.8958,S
